kind,stage,started_utc,ended_utc,wall_seconds,estimated_usd,returncode
command,capacity-tp8-aot,2026-08-13T19:49:52.565255+00:00,2026-08-13T19:50:30.390373+00:00,37.83,0.1009,0
command,capacity-dp8-aot,2026-08-13T19:50:30.391218+00:00,2026-08-13T19:50:54.511280+00:00,24.12,0.0643,1
command,smoke,2026-08-13T19:50:54.704081+00:00,2026-08-13T19:51:28.046076+00:00,33.34,0.0889,0
command,continued-pretrain,2026-08-13T19:51:28.046766+00:00,2026-08-13T19:54:51.463938+00:00,203.42,0.5424,0
command,sweep-aot-gb4,2026-08-13T19:54:53.426364+00:00,2026-08-13T19:55:23.801729+00:00,30.38,0.0810,0
command,sweep-gb4,2026-08-13T19:55:23.802483+00:00,2026-08-13T19:55:55.916149+00:00,32.11,0.0856,0
command,sweep-aot-gb8,2026-08-13T19:55:55.917301+00:00,2026-08-13T19:56:26.856251+00:00,30.94,0.0825,0
command,sweep-gb8,2026-08-13T19:56:26.856969+00:00,2026-08-13T19:57:00.468163+00:00,33.61,0.0896,0
command,sweep-aot-gb16,2026-08-13T19:57:00.469066+00:00,2026-08-13T19:57:30.884616+00:00,30.42,0.0811,0
command,sweep-gb16,2026-08-13T19:57:30.885327+00:00,2026-08-13T19:58:03.473872+00:00,32.59,0.0869,0
command,sweep-aot-gb32,2026-08-13T19:58:03.474748+00:00,2026-08-13T19:58:32.036743+00:00,28.56,0.0762,0
command,sweep-gb32,2026-08-13T19:58:32.037476+00:00,2026-08-13T19:59:10.385370+00:00,38.35,0.1023,0
command,sweep-aot-gb64,2026-08-13T19:59:10.386229+00:00,2026-08-13T19:59:43.916176+00:00,33.53,0.0894,0
command,sweep-gb64,2026-08-13T19:59:43.916880+00:00,2026-08-13T20:00:26.842975+00:00,42.93,0.1145,0
command,sweep-aot-gb128,2026-08-13T20:00:26.844090+00:00,2026-08-13T20:00:57.674942+00:00,30.83,0.0822,0
command,sweep-gb128,2026-08-13T20:00:57.675658+00:00,2026-08-13T20:01:49.598515+00:00,51.92,0.1385,0
command,sweep-aot-gb256,2026-08-13T20:01:49.599394+00:00,2026-08-13T20:02:22.003094+00:00,32.40,0.0864,0
command,sweep-gb256,2026-08-13T20:02:22.003845+00:00,2026-08-13T20:03:31.822151+00:00,69.82,0.1862,0
command,sweep-aot-gb512,2026-08-13T20:03:31.823004+00:00,2026-08-13T20:03:58.402146+00:00,26.58,0.0709,1
command,xprof,2026-08-13T20:03:59.356080+00:00,2026-08-13T20:04:58.288902+00:00,58.93,0.1572,0
command,sft,2026-08-13T20:05:07.859379+00:00,2026-08-13T20:12:28.519409+00:00,440.66,1.1751,0
command,sft-resume,2026-08-13T20:12:37.730416+00:00,2026-08-13T20:16:15.632909+00:00,217.90,0.5811,0
command,grpo,2026-08-13T20:16:19.326970+00:00,2026-08-13T20:23:27.404725+00:00,428.08,1.1415,0
command,inference-base,2026-08-13T20:23:27.971761+00:00,2026-08-13T20:25:30.429467+00:00,122.46,0.3266,0
command,inference-sft,2026-08-13T20:25:30.430078+00:00,2026-08-13T20:27:34.765240+00:00,124.33,0.3316,0
